ID,Description / Title,Solved By
1,Multiples of 3 and 5,592983
592983,,2
2,Even Fibonacci numbers,482270
482270,,3
3,Largest prime factor,347900
347900,,4
4,Largest palindrome product,312148
312148,,5
5,Smallest multiple,322899
322899,,6
6,Sum square difference,324848
324848,,7
7,10001st prime,278350
278350,,8
8,Largest product in a series,238201
238201,,9
9,Special Pythagorean triplet,239061
239061,,10
10,Summation of primes,219651
219651,,11
11,Largest product in a grid,161224
161224,,12
12,Highly divisible triangular number,149151
149151,,13
13,Large sum,155219
155219,,14
14,Longest Collatz sequence,153801
153801,,15
15,Lattice paths,127703
127703,,16
16,Power digit sum,157030
157030,,17
17,Number letter counts,104722
104722,,18
18,Maximum path sum I,101246
101246,,19
19,Counting Sundays,93822
93822,,20
20,Factorial digit sum,139589
139589,,21
21,Amicable numbers,100880
100880,,22
22,Names scores,93438
93438,,23
23,Non-abundant sums,71433
71433,,24
24,Lexicographic permutations,80215
80215,,25
25,1000-digit Fibonacci number,108388
108388,,26
26,Reciprocal cycles,57931
57931,,27
27,Quadratic primes,60740
60740,,28
28,Number spiral diagonals,77397
77397,,29
29,Distinct powers,72784
72784,,30
30,Digit fifth powers,76504
76504,,31
31,Coin sums,58001
58001,,32
32,Pandigital products,49283
49283,,33
33,Digit cancelling fractions,50166
50166,,34
34,Digit factorials,66119
66119,,35
35,Circular primes,59903
59903,,36
36,Double-base palindromes,63234
63234,,37
37,Truncatable primes,51500
51500,,38
38,Pandigital multiples,43822
43822,,39
39,Integer right triangles,50813
50813,,40
40,Champernowne's constant,56320
56320,,41
41,Pandigital prime,47385
47385,,42
42,Coded triangle numbers,52960
52960,,43
43,Sub-string divisibility,41053
41053,,44
44,Pentagon numbers,39790
39790,,45
45,"Triangular, pentagonal, and hexagonal",50284
50284,,46
46,Goldbach's other conjecture,42145
42145,,47
47,Distinct primes factors,40019
40019,,48
48,Self powers,81482
81482,,49
49,Prime permutations,39950
39950,,50
50,Consecutive prime sum,42888
42888,,0
